candidate,captions,file,target,category,image_path
B003FGW7MK,"['is solid black with no sleeves', 'is black with straps']",cap.dress.train.json,B008BHCT58,dress,data\images\pics\B003FGW7MK.png
B008MTHLHQ,"['is longer', 'is lighter and longer']",cap.dress.train.json,B00BZ8GPVO,dress,data\images\pics\B008MTHLHQ.png
B00EVKYJAC,"['3/4 sleeve black and white dress and more top covered', 'has short sleeve and is black color']",cap.dress.train.json,B008KZR6WM,dress,data\images\pics\B00EVKYJAC.png
B003U9VL4W,"['is patterned and has a halter neckline', 'is black with floral patterns']",cap.dress.train.json,B00684UYEE,dress,data\images\pics\B003U9VL4W.png
B00BLY2L2E,"['is black with no sleeves', 'is longer']",cap.dress.train.json,B00EV1B9C2,dress,data\images\pics\B00BLY2L2E.png
B00B2EAOA4,"['is a long dress with a combination of black and white', 'is not clothing and has smiley faces']",cap.dress.train.json,B000FSDAIG,dress,data\images\pics\B00B2EAOA4.png
B00CIAINUO,"['is a long maxi dress', 'is an a-line print']",cap.dress.train.json,B00CTSFYSE,dress,data\images\pics\B00CIAINUO.png
B002UUTR4S,"['is less sexy but more colorful', 'is lighter']",cap.dress.train.json,B008ULB0PK,dress,data\images\pics\B002UUTR4S.png
B009XNOE34,"['is longer and black wit a fitted waist', 'is black with straps']",cap.dress.train.json,B00C97K8TK,dress,data\images\pics\B009XNOE34.png
B0045KDJYU,"['has long sleeves and stripes', 'is striped with sleeves']",cap.dress.train.json,B002GT074M,dress,data\images\pics\B0045KDJYU.png
B007FP4YBO,"['is longer and yellow', 'belted maxi dress in block colors of yellow and green']",cap.dress.train.json,B00BB7FN6C,dress,data\images\pics\B007FP4YBO.png
B00BR3OXYS,"['is a back patterned dress', 'is not as bright in color']",cap.dress.train.json,B009N9YUP0,dress,data\images\pics\B00BR3OXYS.png
B008BPV244,"['has larger stripes  and is shorter', 'more stripes and short sleeves']",cap.dress.train.json,B00EOSK2DY,dress,data\images\pics\B008BPV244.png
B007E8M69Y,"['has short sleeves and is longer and more flowing', 'has longer sleeves']",cap.dress.train.json,B00DYXGVW6,dress,data\images\pics\B007E8M69Y.png
B00A8F9ZBW,"['is real colored and sleeveless', 'is blue with straps']",cap.dress.train.json,B00A8FA3RW,dress,data\images\pics\B00A8F9ZBW.png
B0060FHQI8,"['is red', 'is red and white']",cap.dress.train.json,B007CVK41K,dress,data\images\pics\B0060FHQI8.png
B00BJSE54Y,"['is dark with straps', 'has straps and a tighter fit']",cap.dress.train.json,B00G5N3J04,dress,data\images\pics\B00BJSE54Y.png
B00BBL2AM8,"['is brighter in color', 'is green and more revealing']",cap.dress.train.json,B007EBPVAW,dress,data\images\pics\B00BBL2AM8.png
B005MKBNX6,"['Is more plain and less whimsical', 'is solid brown']",cap.dress.train.json,B00FJDYWAC,dress,data\images\pics\B005MKBNX6.png
B008VPWWSO,"['has no straps and is darker', 'is silver and strapless']",cap.dress.train.json,B005F059JM,dress,data\images\pics\B008VPWWSO.png
B005RYO4DS,"['is shorter and lighter', 'is tank toped and full bottom']",cap.dress.train.json,B004NRNQRU,dress,data\images\pics\B005RYO4DS.png
B006NUDY04,"['is asymmetrical', 'the bottom goes to the side']",cap.dress.train.json,B008UWJHFO,dress,data\images\pics\B006NUDY04.png
B00A8FA0IE,"['is lighter and has shorter sleeves', 'is sleeveless and pink']",cap.dress.train.json,B00DGP705O,dress,data\images\pics\B00A8FA0IE.png
B00EDTKF9A,"['is solid black with buckles', 'Is black']",cap.dress.train.json,B0065RQ4LG,dress,data\images\pics\B00EDTKF9A.png
B00DRDIZFY,"['strapless and more red.', 'puffier']",cap.dress.train.json,B00438R7EM,dress,data\images\pics\B00DRDIZFY.png
B002GYOV1W,"['has thinner straps with beige tone', 'is beige and less Hawaiian']",cap.dress.train.json,B001E8XULI,dress,data\images\pics\B002GYOV1W.png
B006J42UHW,"['is longer with straps', 'is longer']",cap.dress.train.json,B00CQ7LKS6,dress,data\images\pics\B006J42UHW.png
B00BYF3CQE,"['has a v-neck', 'has two colors']",cap.dress.train.json,B00A6FQH92,dress,data\images\pics\B00BYF3CQE.png
B006W6EHDW,"[' red', ' red and longer mermaid skirted']",cap.dress.train.json,B006WJ2LIW,dress,data\images\pics\B006W6EHDW.png
B003UV9XTA,"['Is brighter with a ruffled front.', 'is more blue']",cap.dress.train.json,B00BL4U932,dress,data\images\pics\B003UV9XTA.png
